stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
M8-L2_C1_4_L1_4-int,4.3038981711769875,5.91503186915979,1.519305387983543,1.9095138852866766,2.0584746498578834,1.9729363593608624
M8-L2_C1_4_L1_4-int-dur,4.3038981711769875,5.930860607200152,1.5035419728290964,1.4351403648547607,1.3440262309254611,1.8394259413203538
M8-L2_C1_4_L1_4-int-rate,4.873286542699345,6.016772396750934,1.4012420626332722,1.909513885286678,2.058474649857883,1.9729363593608626
M8-L2_C1_4_L1_4-int-dur-rate,4.873286542699345,6.047255142139929,1.4282359588748592,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_C1_4_L1_4-dur,4.3038981711769875,5.678466461668366,1.137363724320116,1.4351403648547607,1.3440262309254611,1.8394259413203538
M8-L2_C1_4_L1_4-dur-rate,4.873286542699345,5.666549518957714,1.1901291537107797,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_C1_4_L1_4-rate,4.873286542699345,5.682813587937412,1.1577367300001835,1.909513885286678,2.058474649857883,1.9729363593608626
M8-L2_B1_5_B1_4-int-dur-rate,4.01816764518652,6.201993062546331,1.1890744145274312,1.6331720895485815,1.448253931747938,1.6855751627610385
M8-L2_B1_5_L1_4-int,3.41128328852826,6.441802763294433,1.6218387566785333,1.8349911340932283,2.0781401912697235,1.9785702196513029
M8-L2_B1_5_L1_4-int-dur,3.411283288528259,6.441802763294433,1.6218387566785333,1.435140364854761,1.3440262309254616,1.8394259413203549
M8-L2_B1_5_L1_4-int-rate,4.873286542699345,6.630303719590085,1.630557468530209,1.83499113409323,2.0781401912697266,1.9785702196513058
M8-L2_B1_5_L1_4-int-dur-rate,4.873286542699345,6.630303719590085,1.630557468530209,1.4351403648547605,1.3440262309254618,1.8394259413203544
M8-L2_B1_5_L1_4-dur,3.411283288528259,5.94253514032205,1.1244952014129381,1.435140364854761,1.3440262309254616,1.8394259413203549
